hello,Xin chàoo,
xin chào,chao xìn,
chào bạn,xin chào,
hi,hii fpt,
hê s lô,Chào bạn,
alo alo,blo blo,
alo,blo,
hoàng sa trường sa của nước nào,"Hoàng Sa, Trường Sa là của Việt Nam <3",
TuLT là ai,TuLT phụ trách IT của FTEL,
bạn khỏe không?,"tôi khỏe, cảm ơn bạn.",
hi fpt,hiii,
hi,hi,
hello,hello,
bạn là ai,tôi là FTEL IT Support ,
1 + 1,1+1=2,
1+1,bằng 2-1,
1 cộng 1 là mấy,câu này khó quá …,
ngon,hihihi,
ngon,<3,
ngon,ok bạn,
ok,<3,
ok,ok bạn,
ok,okii,
dữ liệu cũ trong outlook trong mail cũ fpt.com.vn có được backup và chuyển sang cho mail mới fpt.com hay không? vì đang dùng outlook bản web?,"Các email của năm 2023 sẽ được hệ thống tự động chuyển trước để người dùng thuận tiện làm việc. Các email của những năm trước sẽ được chuyển dần trong 2 tháng tiếp theo. Trong thời gian chuyển đổi, người dùng có thể login vào account cũ để xem lại các email chưa được chuyển và gửi email từ địa chỉ cũ nếu cần. Phần Calendar và Rules filter email người dùng phải chủ động tạo lại từ đầu.",
"dạ cho em hỏi là mail của em hiện tại có đăng ký dùng wifi áp dụng ưu đãi cho nhân viên, vậy khi chuyển qua mail mới thì có bị gì không ạ.
Cty có hỗ trợ chuyển qua mail mới trên hợp đồng wifi không ạ.?",Việc sử dụng gói cước ưu đãi không ảnh hưởng bởi việc chuyển đổi account. Bạn có thể liên hệ tổng đài 19006600 để được hỗ trợ việc thay đổi email trên hợp đồng Internet của mình,
Bao giờ thì tôi có account mới đây?,Pasword của account mới sẽ được gửi đến người dùng trước ngày 08/05/2023. Password sẽ được BDA gửi tự động từ hệ thống Akabot-SSC (từ địa chỉ email fim.bot@fpt.com.vn). Do hệ thống gửi chậm nên bạn vui lòng chờ đợi thêm.,
