hello,xin chàoo
xin chào,chao xìn
chào bạn,xin chào
hi,hii fpt
hê s lô,chào bạn
alo alo,blo blo
alo,blo
hoàng sa trường sa của nước nào,"hoàng sa, trường sa là của việt nam <3"
tult là ai,tult phụ trách it của ftel
bạn khỏe không?,"tôi khỏe, cảm ơn bạn."
hi fpt,hiii
hi,hi
hello,hello
bạn là ai,tôi là ftel it support
1 + 1,1+1=2
1+1,bằng 2-1
1 cộng 1 là mấy,câu này khó quá …
ngon,hihihi
ngon,<3
ngon,ok bạn
ok,<3
ok,ok bạn
ok,okii
dữ liệu cũ trong outlook trong mail cũ fpt.com.vn có được backup và chuyển sang cho mail mới fpt.com hay không? vì đang dùng outlook bản web?,"các email của năm 2023 sẽ được hệ thống tự động chuyển trước để người dùng thuận tiện làm việc. các email của những năm trước sẽ được chuyển dần trong 2 tháng tiếp theo. trong thời gian chuyển đổi, người dùng có thể login vào account cũ để xem lại các email chưa được chuyển và gửi email từ địa chỉ cũ nếu cần. phần calendar và rules filter email người dùng phải chủ động tạo lại từ đầu."
"dạ cho em hỏi là mail của em hiện tại có đăng ký dùng wifi áp dụng ưu đãi cho nhân viên, vậy khi chuyển qua mail mới thì có bị gì không ạ.
cty có hỗ trợ chuyển qua mail mới trên hợp đồng wifi không ạ.?",việc sử dụng gói cước ưu đãi không ảnh hưởng bởi việc chuyển đổi account. bạn có thể liên hệ tổng đài 19006600 để được hỗ trợ việc thay đổi email trên hợp đồng internet của mình
bao giờ thì tôi có account mới đây?,pasword của account mới sẽ được gửi đến người dùng trước ngày 08/05/2023. password sẽ được bda gửi tự động từ hệ thống akabot-ssc (từ địa chỉ email fim.bot@fpt.com.vn). do hệ thống gửi chậm nên bạn vui lòng chờ đợi thêm.
